"SNo","CaseID","KafkaJSON","APIResponse","Status"
"1","2011-0525-T-0334","{u'_id': ObjectId('56278b82c33a7d9eb10ad1f6'), u'caseId': u'2011-0525-T-0334', u'attachment': {u'sequenceNumber': u'0000026175', u'title': u'DK7444.txt', u'zTime': 73411, u'fileType': u'', u'private': u'', u'dateCreated': u'20110525 073411', u'createdBy': u'', u'path': u'/archive/attachments/PCLR/2011/05/25/0334/1306334051497', u'zDate': 20110525, u'uploadedBy': u'', u'size': 8}}","200"
"2","2015-1005-T-0008","{u'_id': ObjectId('56278b84c33a7d9eb10ad1f9'), u'caseId': u'2015-1005-T-0008', u'attachment': [{u'sequenceNumber': u'0002141221', u'title': u'one.txt', u'zTime': 23428, u'fileType': u'', u'private': u'', u'dateCreated': u'Mon+Oct+05+09%3A34%3A26+UTC+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015/10/05/T/20151005093426', u'zDate': 20151005, u'uploadedBy': u'ednei.iamaguti@copel.com', u'size': 17}, {u'sequenceNumber': u'0002141222', u'title': u'Two.txt', u'zTime': 23457, u'fileType': u'', u'private': u'', u'dateCreated': u'Mon+Oct+05+09%3A34%3A56+UTC+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015/10/05/T/20151005093456', u'zDate': 20151005, u'uploadedBy': u'ednei.iamaguti@copel.com', u'size': 21}, {u'sequenceNumber': u'0002141509', u'title': u'fg.csv', u'zTime': 95519, u'fileType': u'', u'private': u'', u'dateCreated': u'20151014 095519', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/OETCLR/2015/10/05/0008/005056010AB61ED59CD28B36658F0C12', u'zDate': 20151014, u'uploadedBy': u'soommen@juniper.net', u'size': 460}, {u'sequenceNumber': u'0002141515', u'title': u'TT.html', u'zTime': 55010, u'fileType': u'', u'private': u'X', u'dateCreated': u'20151015 055010', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/OETCLR/2015/10/05/0008/005056010AB61ED59CE768A6B6A40C12', u'zDate': 20151015, u'uploadedBy': u'soommen@juniper.net', u'size': 9}, {u'sequenceNumber': u'0002141516', u'title': u'TT.html', u'zTime': 55803, u'fileType': u'', u'private': u'X', u'dateCreated': u'20151015 055803', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/OETCLR/2015/10/05/0008/005056010AB61ED59CE78BDA856F0C12', u'zDate': 20151015, u'uploadedBy': u'soommen@juniper.net', u'size': 9}, {u'sequenceNumber': u'0002141517', u'title': u'wq.csv', u'zTime': 55803, u'fileType': u'', u'private': u'X', u'dateCreated': u'20151015 055803', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/OETCLR/2015/10/05/0008/005056010AB61ED59CE78BDA856F2C12', u'zDate': 20151015, u'uploadedBy': u'soommen@juniper.net', u'size': 363}]}","200"
"3","2015-1012-T-0011","{u'_id': ObjectId('56278b84c33a7d9eb10ad20a'), u'caseId': u'2015-1012-T-0011', u'attachment': {u'sequenceNumber': u'0002141520', u'title': u'x.x', u'zTime': 91320, u'fileType': u'', u'private': u'', u'dateCreated': u'Fri+Oct+16+16%3A13%3A16+UTC+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015/10/12/T/20151016161316', u'zDate': 20151016, u'uploadedBy': u'LIS@JUNIPER.NET', u'size': 505}}","200"
"4","2015-2020-0002","{u'_id': ObjectId('56278b84c33a7d9eb10ad20e'), u'caseId': u'2015-2020-0002', u'attachment': [{u'sequenceNumber': u'0004744653', u'title': u'NW-NG-0-varlogs.tgz', u'zTime': 72933, u'fileType': u'', u'private': u'X', u'dateCreated': u'Tue+Oct+20+07%3A29%3A31+PDT+2015', u'createdBy': u'CMUSER', u'path': u'/sftp/pub/incoming/2015-2020-0002/NW-NG-0-varlogs.tgz', u'zDate': 20151020, u'uploadedBy': u'sftp_user', u'size': 12299}, {u'sequenceNumber': u'0004745868', u'title': u'image001.png', u'zTime': u'000217', u'fileType': u'', u'private': u'X', u'dateCreated': u'20151021 000217', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/PCLR/2015/10/20/0002/901B0E53B1321ED59DF8354C3F085651', u'zDate': 20151021, u'uploadedBy': u'rfrania@juniper.net', u'size': 75}, {u'sequenceNumber': u'0004745890', u'title': u'image001.png', u'zTime': u'002156', u'fileType': u'', u'private': u'X', u'dateCreated': u'20151021 002156', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/PCLR/2015/10/20/0002/901B0E53B1321ED59DF88D1E67551651', u'zDate': 20151021, u'uploadedBy': u'rfrania@juniper.net', u'size': 75}, {u'sequenceNumber': u'0004746129', u'title': u'image001.png', u'zTime': 24142, u'fileType': u'', u'private': u'X', u'dateCreated': u'20151021 024142', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/PCLR/2015/10/20/0002/901B0E53B1321ED59DFAFDEB29A1D651', u'zDate': 20151021, u'uploadedBy': u'pbloomfield@juniper.net', u'size': 75}, {u'sequenceNumber': u'0004746130', u'title': u'image001.png', u'zTime': 24142, u'fileType': u'', u'private': u'X', u'dateCreated': u'20151021 024142', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/PCLR/2015/10/20/0002/901B0E53B1321ED59DFAFDEB29A1F651', u'zDate': 20151021, u'uploadedBy': u'pbloomfield@juniper.net', u'size': 75}]}","200"
"5","2015-1018-T-0013","{u'_id': ObjectId('56278b84c33a7d9eb10ad215'), u'caseId': u'2015-1018-T-0013', u'attachment': {u'sequenceNumber': u'0002141521', u'title': u'attach file.png', u'zTime': 234752, u'fileType': u'', u'private': u'', u'dateCreated': u'Sun+Oct+18+23%3A47%3A51+PDT+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015/10/18/T/20151018234751', u'zDate': 20151018, u'uploadedBy': u'ksarchana@juniper.net', u'size': 96}}","200"
"6","string","{u'_id': ObjectId('56278b84c33a7d9eb10ad21c'), u'caseId': u'string', u'attachment': {u'sequenceNumber': u'string', u'title': u'string', u'zTime': u'string', u'fileType': u'string', u'private': u'string', u'dateCreated': u'string', u'createdBy': u'string', u'path': u'string', u'zDate': u'string', u'uploadedBy': u'string', u'size': u'string'}}","404","No Match Found"
"7","2015-1011-T-0012","{u'_id': ObjectId('56278b8ac33a7d9eb10ad25b'), u'caseId': u'2015-1011-T-0012', u'attachment': {u'sequenceNumber': u'0002141494', u'title': u'x.1', u'zTime': 224530, u'fileType': u'', u'private': u'', u'dateCreated': u'Mon+Oct+12+05%3A45%3A29+UTC+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015/10/11/T/20151012054528', u'zDate': 20151011, u'uploadedBy': u'LIS@JUNIPER.NET', u'size': 626}}","200"
"8","2015-0903-T-0009","{u'_id': ObjectId('56278b8cc33a7d9eb10ad28d'), u'caseId': u'2015-0903-T-0009', u'attachment': {u'sequenceNumber': u'0002141518', u'title': u'Custom tcode requirement_R475.xlsx', u'zTime': 222241, u'fileType': u'', u'private': u'', u'dateCreated': u'20151015 222241', u'createdBy': u'WF-BATCH', u'path': u'/archive/attachments/OETCLR/2015/09/03/0009/005056010AB61ED59CF8BD840D000C12', u'zDate': 20151015, u'uploadedBy': u'bbatchu@juniper.net', u'size': 16}}","200"
"9","2015-0924-T-2503","{u'_id': ObjectId('5627ad41c33a7d9eb10ad336'), u'caseId': u'2015-0924-T-2503', u'attachment': {u'sequenceNumber': u'0002141086', u'title': u'Awesomeness.wmv', u'zTime': 110916, u'fileType': u'', u'private': u'', u'dateCreated': u'Tue+Sep+29+18%3A09%3A14+UTC+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015/09/24/T/20150929180906', u'zDate': 20150929, u'uploadedBy': u'ARYPINSKI@JUNIPER.NET', u'size': 25631}}","200"
"10","2015-0928-T-0022","{u'_id': ObjectId('56278b84c33a7d9eb10ad218'), u'caseId': u'2015-0928-T-0022', u'attachment': [{u'sequenceNumber': u'0002141157', u'title': u'Chrome1.jpg', u'zTime': 230539, u'fileType': u'', u'private': u'X', u'dateCreated': u'Thu+Oct+01+11%3A35%3A35+IST+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015\\09\\28\\T\\20151001113535', u'zDate': 20150930, u'uploadedBy': u'gmarkley@greatbaysoftware.com', u'size': 230}, {u'sequenceNumber': u'0002141158', u'title': u'!@%%Q - Copy.txt', u'zTime': 230605, u'fileType': u'', u'private': u'X', u'dateCreated': u'Thu+Oct+01+11%3A36%3A02+IST+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015\\09\\28\\T\\20151001113602', u'zDate': 20150930, u'uploadedBy': u'gmarkley@greatbaysoftware.com', u'size': 2}, {u'sequenceNumber': u'0002141159', u'title': u'FF2.png', u'zTime': 235655, u'fileType': u'', u'private': u'X', u'dateCreated': u'Thu+Oct+01+12%3A26%3A52+IST+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015\\09\\28\\T\\20151001122652', u'zDate': 20150930, u'uploadedBy': u'gmarkley@greatbaysoftware.com', u'size': 182}, {u'sequenceNumber': u'0002141531', u'title': u'sample123.txt', u'zTime': 50856, u'fileType': u'', u'private': u'', u'dateCreated': u'Tue+Oct+20+12%3A08%3A53+UTC+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015/09/28/T/20151020120853', u'zDate': 20151020, u'uploadedBy': u'amitsri@juniper.net', u'size': 0}, {u'sequenceNumber': u'0002141532', u'title': u'sample123sample123sample123sample123sample123sample123sample123sample123sample123sample123sample123s', u'zTime': 51010, u'fileType': u'', u'private': u'X', u'dateCreated': u'Tue+Oct+20+12%3A10%3A09+UTC+2015', u'createdBy': u'CMUSER', u'path': u'/archive/attachments/OETCLR/2015/09/28/T/20151020121007', u'zDate': 20151020, u'uploadedBy': u'amitsri@juniper.net', u'size': 5855}]}","200"
